win	num	den	n	fst	chrom	region
26500000	384.7095346500083	26456.910492570158	21507	0.014540984849990158	1	block
26600000	384.7243380986822	33631.039556514916	24866	0.011439561285406488	1	block
26700000	521.8096974418647	44195.81513444253	25305	0.011806767130655541	1	block
26800000	428.118917167631	34636.55194640579	23000	0.01236032148436925	1	block
26900000	377.2043207561623	32887.62241458683	23051	0.01146949195661097	1	block
27000000	398.3021056131294	39925.528375965456	28571	0.009976126098130766	1	block
27100000	548.4269039081282	41760.118499598764	24793	0.013132790892664675	1	block
27200000	372.80672439284047	26509.426579781728	17192	0.014063175726221615	1	block
27300000	369.89911562879655	31664.363295457068	25085	0.011681874420695095	1	block
27400000	521.9139200212442	33694.70283744677	21859	0.015489494670397052	1	block
27500000	301.65399077233377	24177.573658706704	16703	0.012476603112889438	1	block
27600000	528.0990827005041	32380.276770174805	18794	0.01630928254408658	1	block
